created_at,Text,full_text
Mon Feb 24 05:18:42 +0000 2025,,@DivHumas_Polri Polri melalui Polsek Durenan Polres Trenggalek menggelar dapur umum untuk bisa berbagi makan siang bergizi gratis kepada masyarakat #MakanBergiziGratis untuk Masyarakat Komitmen Polri Bakti Wujudkan Kebaikan Untuk Semua https://t.co/hbPOE0qIdA
Mon Feb 24 04:58:19 +0000 2025,,nah ini baru makan siang bergizi gratis 
Mon Feb 24 04:34:55 +0000 2025,,@BudiBukanIntel HSil makan siang bergizi gratis tp bayar bayar bayar dgn idealisme
Sun Feb 23 21:43:37 +0000 2025,,@abu_waras Penggagas makan bergizi gratis itu mengira dengan memberi makan siang bergizi kepada anak-anak sekolah dapat mencegah peningkatan kasus stunting. Apakah sudah ada penelitian ilmiah tentang itu?
Sun Feb 23 17:49:27 +0000 2025,,UAS Kritik Progam Makan Siang Gratis. Tugas dan kewajiban negara adalah memberikan pekerjaan yang layak untuk orang tua. Sehingga orang tua bisa memberikan makan bergizi bagi anak-anaknya. https://t.co/G7aBZxmLvB https://t.co/h7tOhfSj1F
Sun Feb 23 15:03:17 +0000 2025,,@Shopee__ID Makan siang bergizi gratis
Sun Feb 23 13:25:43 +0000 2025,,@TukangCalo @kegblgnunfaedh TOLOL! Kan konteksnya makan siang gratis. Makan siang gratis kan targetnya anak sekolah yang notabene punya orang tua orang tuanya yang disejahterakan sehingga anaknya bisa makan bergizi. Kenapa lu malah bahas Fakir miskin dan anak terlantar? Udah ngebuzzer goblok lagi
Sun Feb 23 11:09:36 +0000 2025,,@Dharmokawuk @alisyarief Makan siang bergizi gratis
Sun Feb 23 09:29:27 +0000 2025,,@WidasSatyo Yes lebih baik bagaimana membangun masyarakat agar bisa beli makan bergizi sendiri pakai duit sendiri hasil kerja diri sendiri dengan beragam program yang progresif. Program makan siang gratis bergizi ini ya program sampah yang seolah2 fungsinya hanya untuk mencari suara saja
Sun Feb 23 06:53:35 +0000 2025,,makan siang bergizi ndak pakai gratis.... https://t.co/b1MsfMU5Xp
Sun Feb 23 06:25:54 +0000 2025,,Keracunan makan siang bergizi gratis tega banget sih pak! Anak2 bukan sehat malah busa kehilangan nyawa! Jgn sibuk dgn danantara terus yg isinya hanya pejabat korup.
Fri Feb 21 12:26:13 +0000 2025,,Ini baru makan siang bergizi gratis
Fri Feb 21 11:19:04 +0000 2025,,Jumat 21 Februari 2025 Kantor Imigrasi Kelas II Non TPI Muara Enim melaksanakan program Jumat Berkah Makan Bergizi Gratis (MBG) dengan membagikan makan siang kepada masyarakat sekitar lingkungan kantor Imigrasi Kelas II Non TPI Muara Enim. https://t.co/RfWu1WtKCN
Fri Feb 21 10:29:53 +0000 2025,,Padahal ada 01 dan 03 yang bikin program terkait pendidikan pendidikan itu fundamental supaya naik kelas keluarganya tp kalah sama makan siang gratis yg ga bergizi juga deh gue liat2. Normalisasi jauhin temen yg pas 14 Feb tahun lalu milih 02
Fri Feb 21 10:23:48 +0000 2025,,Makan siang Bergizi Gratis ya kayak gini ini https://t.co/ETf1fT23Zm
Fri Feb 21 09:59:38 +0000 2025,,1. Wakil Presiden (Wapres) Gibran Rakabuming kembali memantau jalannya program Makan Bergizi Gratis (MBG) yang dilaksanakan di SMK Negeri 48 Jakarta Jl. Radin Inten II No.3 Jakarta Timur pada Jumat siang (21/02/2025). #KemensetnegRI #RilisSetwapres https://t.co/wZYwcdIMD7
Fri Feb 21 09:55:44 +0000 2025,,Jumat 21 Februari 2025 Kantor Imigrasi Kelas I Non TPI Bekasi melaksanakan program Makan Bergizi Gratis (MBG) dengan membagikan makan siang kepada masyarakat sekitar termasuk setelah salat Jumat di Masjid Al Hijrah dalam lingkungan kantor. https://t.co/zv2MybFTee
Fri Feb 21 05:36:27 +0000 2025,,Menu makan bergizi gratis siang ini terima kasih Pak Prabowo. https://t.co/NinMcbRW8m
Fri Feb 21 04:20:07 +0000 2025,,Program Makan Bergizi gratis hanya program yg ikut2 an dgn negara lain Bukan karena ide &amp; kajian sendiri (Anak nya dapat makan siang gratis tp malam nya seluruh keluarga tidak makan karena ayahnya menganggur) !
Fri Feb 21 04:04:18 +0000 2025,,Polres Serang gandeng Youtuber mengadakan masak besar untuk program Makan Bergizi Gratis bagi seribu murid Sekolah Dasar di Kab. Serang hal ini disampaikan oleh Kapolres Serang Akbp Condro Sasongko Jumat (21/2) Siang. Mae #BeritaElshinta https://t.co/MkUq99iRyd
Fri Feb 21 03:30:14 +0000 2025,,Pemerintah Prabowo-Gibran memberikan bukti nyata kepedulian terhadap kesehatan anak-anak dengan program makan siang bergizi gratis. Ini akan membantu mereka tumbuh dengan nutrisi yang optimal untuk meraih cita-cita. https://t.co/Z9f30k69Ge
Fri Feb 21 03:30:05 +0000 2025,,Dengan adanya program makan siang bergizi gratis anak-anak sekolah kini bisa menikmati makanan sehat setiap hari. Terima kasih kepada pemerintah Prabowo-Gibran yang peduli akan masa depan generasi penerus bangsa. https://t.co/ngiDDo5X0g
Fri Feb 21 03:28:48 +0000 2025,,Program makan siang bergizi gratis bagi murid sekolah yang digagas pemerintah Prabowo-Gibran adalah langkah luar biasa untuk memastikan generasi muda tumbuh sehat dan cerdas. https://t.co/q2U3DN4cCt
Fri Feb 21 02:47:38 +0000 2025,,Makanya gizi rakyat tuh di perbaikin wooy pemerintah. Giliran begini yang di salahin rakyat nya Makan tuh program makan siang gratis tapi kurang bergizi 
Fri Feb 21 02:32:50 +0000 2025,,Gara2 stock misoa masih buanyak bgt jd pagi ini bikin misoa goreng. Makan siang suamiku &amp; menu MBEG alias Makan Bergizi Enak &amp; Gratis ada nasgor hongkong telur dadar &amp; nugget homemade. Selamat hari Jumat semua https://t.co/rSKbc5ihZ9
Fri Feb 21 01:24:01 +0000 2025,,Klo ini nggak salah lagi...Pasti MAKAN SIANG BERGIZI GRATIS.... https://t.co/xF2dAJdzeb
Fri Feb 21 00:03:05 +0000 2025,,Makan Siang Bergizi Gratis literally jadi food waste di kulkas gue bjingannnn 
Thu Feb 20 23:20:55 +0000 2025,,@MasBRO_back @bemuiofficial Nama ada kawan makan siang Gratis... tholol lah Poin kasih orang tua pelajar pekerjaan .. UMP 10 jt . Ga perlu makan gratis... tau g orang tua lebih tau makan apa yg disukai anak dan bergizi .. catat wowo
Thu Feb 20 21:53:40 +0000 2025,,@BobTeuku96933 1st class makan ubi dan 2nd class makan nasi otak loe dimana Luhut? Ini masalah perut. Si NKRI aja sampai ada makan siang bergizi gratis nggak usah ngomongin class2 deh loe Luhut. Situ enak dah kaya raya entah darimana asalnya. Lah yang lain? Susah kalau pejabat begini ngomong 
Thu Feb 20 13:56:00 +0000 2025,,dan apakah uang apbn itu dapat memenuhi kebutuhan biaya untuk makan siang bergizi gratis ini selama setahun penuh mengingat lagi program ini ditargetkan sudah menyeluruh hingga akhir tahun?
Thu Feb 20 13:55:59 +0000 2025,,Diketahui total target pendapatan negara dalam Anggaran Pendapatan dan Belanja Negara (APBN) 2024 senilai Rp 2.802 29 triliun. Sc:Tempo *Biaya untuk makan siang bergizi gratis per porsi adalah 10ribu. apa dengan 10ribu dapat membuat makanan ber embel embel BERGIZI ?
Thu Feb 20 13:39:25 +0000 2025,,Emang yang gratis cuma makan siang bergizi ya.
Thu Feb 20 12:48:18 +0000 2025,,@barengwarga Pemerintah harus mengatur makan siang bergizi dgn baik dan tdk di politisasi.Masa beri makan siang kepada siswa dan siswi pake Tender Segal? Bukankah lebih manusiawi lagi jika Pemerintah memberi langsung berupa Uang Utk orang tua siswa kelola makan siang Gratis bergizi utk Anak²
Thu Feb 20 10:57:32 +0000 2025,,GAK BUTUH SKINCARE DAN GAK BUTUH MAKAN SIANG BERGIZI GRATIS AKU CUMA MAU KULIAH TANPA MIKIRIN BIAYANYA WOY @gibran_tweet @prabowo
Thu Feb 20 07:57:33 +0000 2025,,@kompascom Mendukung lewat doa... Orang mereka selama ini menganut tidak ada makan siang gratis .... Boro2 makan bergizi gratis pasti ada maunya.... Cik
Thu Feb 20 07:34:27 +0000 2025,,Komisi II DPR RI : Pemda Siap Sukseskan Program Makan Siang Bergizi Gratis - TVR 120 https://t.co/p0iVaQLvlw
Thu Feb 20 07:26:51 +0000 2025,,@Heraloebss Ini yg dinamakan makan bergizi...udh jelas2 dinegara ini Ingat Tidak Ada Makan siang Gratis kawan 
Thu Feb 20 07:25:50 +0000 2025,,@setkabgoid makan siang bergizi gratis yg dpt dr anggaran efisiensi ya pak?
Thu Feb 20 07:15:58 +0000 2025,,@Heraloebss makan siang gratis bergizi. makan siang gratisnya buat jelata gizi nya buat pejabat
Thu Feb 20 06:38:00 +0000 2025,, MAKAN SIANG Pasti Kalah Bergizi Dengan MAKAN BERGIZI GRATIS Walau Samasama GRATIS Beda Kalau DANANTARA Sudah Berjalan MAKAN SIANG nya Dari KEUNTUNGAN INVESTASI DANANTARA Walau Tetap itu Dari PAJAK RAKYAT 
Thu Feb 20 06:33:56 +0000 2025,,@kompascom Bagi Rockefeller Foundation tak ada makan siang gratis .. dukungan spt ini tentu ada barter nya ... kita lihat saja bareng2 ... dan mnurut gw ada organisasi bantu makan bergizi gratis gini rasa kayak zaman Etiophia dulu waktu dilanda kelaparan ..
Thu Feb 20 06:03:17 +0000 2025,,Gak ada makan siang gratis. Luhut Sebut Rockefeller Foundation Berminat Dukung Program Makan Bergizi Gratis Klik untuk baca: https://t.co/LL7pWdv9k0 Kompascom+ baca berita tanpa iklan: https://t.co/XynLlEUKO3 Download aplikasi: https://t.co/7AqDlGwkV6 https://t.co/LL7pWdv9k0
Thu Feb 20 04:23:17 +0000 2025,,@Gracetwit076078 @Bambangmulyonoo Anak sekolah makan siang bergizi gratis di sekolah lalu bagaimana kualitas sarapan dgn makmalnya jk Bapak sama Ibu saja barangkali nggak makan seharian saking miskinnya. Lalu yakinkah kita bs mencetak generasi unggul ??
Thu Feb 20 03:04:20 +0000 2025,,Investasi SDM Unggul! Program Makan Bergizi Gratis bukan sekadar makan siang tapi langkah strategis untuk masa depan Indonesia. Gizi seimbang = generasi cerdas &amp; sehat. Saatnya membangun SDM unggul dari sekarang! #MakanBergiziGratis #SDMIndonesia https://t.co/ylxc5Q0WP1
Thu Feb 20 02:52:41 +0000 2025,,@mudahsinyal yg penting anak sekolah makan siang bergizi gratis. sarapan dan makan malam buat anak ortu suruh mikir sendiri meski kena phk sekalipun karena efisiensi anggaran
